NO.,NAMA KAPAL,CABANG,TANGGAL KEDATANGAN,TANGGAL KEBERANGKATAN,DARI,TUJUAN,,PENUMPANG TURUN,PENUMPANG NAIK,"JUMLAH
CREW"
391,AIDA VITA,BENOA,17/1/20,18/1/20,KOMODO,PULAU BANTA,,"1,211","1,188",594
392,VASCO DA GAMA (8 okt 18),BENOA,19/1/20,20/1/20,MALAYSIA,DARWIN,,955,909,455
393,EUROPA (16 nov 18),BENOA,20/1/20,20/1/20,FREMANTLE,FREMANTLE,,327,318,159
394,BOUDICCA,BENOA,22/1/20,24/1/20,KOMODO,SEMARANG,,538,530,265
395,SEVEN SEAS NAVIGATOR,BENOA,07/2/20,08/2/20,PROBOLINGGO,EXMOUTH,,444,395,198
396,PACIFIC EXPLORER,BENOA,07/2/20,07/2/20,DARWIN,SINGAPORE,,"1,908","1,902",951
397,SEVEN SEAS VOYAGER,BENOA,11/2/20,12/2/20,KOMODO,MALAYSIA,,589,402,201
398,VASCO DA GAMA,BENOA,19/2/20,19/2/20,KOMODO,UJUNG PANDANG,,948,947,474
399,ARTANIA,BENOA,25/2/20,27/2/20,AUSTRALIA,MALAYSIA,,769,762,381
400,ALBATROS,BENOA,06/3/20,08/3/20,PROBOLINGGO,KOMODO,,343,377,189
401,VIKING SUN,BENOA,08/3/20,10/3/20,KOMODO,SINGAPORE,,738,361,181
402,COLOMBUS,BENOA,09/3/20,09/3/20,FREMANTLE,PORT KLANG,,"1,028","1,027",514
403,SUN PRINCESS,GIILIMAS LEMBAR,02/1/20,02/1/20,TANJUNG EMAS,BENOA,,"2,107","2,105",1053
404,AIDA VITA,GIILIMAS LEMBAR,27/1/20,27/1/20,KOMODO,SURABAYA,,"1,209","1,212",606
